timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1782082854508,550,Stress request: config 3,200,OK,Stress users: config 3 1-1,text,true,,231,159,1,1,http://localhost:8079/?token=518506673&user=-1355007012&config=3,547,0,16
1782082855591,527,Stress request: config 3,200,OK,Stress users: config 3 1-2,text,true,,231,159,2,2,http://localhost:8079/?token=518506673&user=-1355007012&config=3,527,0,1
1782082855932,509,Stress request: config 3,200,OK,Stress users: config 3 1-1,text,true,,231,159,2,2,http://localhost:8079/?token=518506673&user=-1355007012&config=3,509,0,0
1782082856790,526,Stress request: config 3,200,OK,Stress users: config 3 1-3,text,true,,231,159,3,3,http://localhost:8079/?token=518506673&user=-1355007012&config=3,526,0,1
1782082857091,511,Stress request: config 3,200,OK,Stress users: config 3 1-2,text,true,,231,159,3,3,http://localhost:8079/?token=518506673&user=-1355007012&config=3,510,0,0
1782082857430,511,Stress request: config 3,200,OK,Stress users: config 3 1-1,text,true,,231,159,3,3,http://localhost:8079/?token=518506673&user=-1355007012&config=3,511,0,0
1782082857990,530,Stress request: config 3,200,OK,Stress users: config 3 1-4,text,true,,231,159,4,4,http://localhost:8079/?token=518506673&user=-1355007012&config=3,530,0,1
1782082858292,513,Stress request: config 3,200,OK,Stress users: config 3 1-3,text,true,,231,159,4,4,http://localhost:8079/?token=518506673&user=-1355007012&config=3,513,0,0
1782082858595,513,Stress request: config 3,200,OK,Stress users: config 3 1-2,text,true,,231,159,4,4,http://localhost:8079/?token=518506673&user=-1355007012&config=3,513,0,0
1782082858929,514,Stress request: config 3,200,OK,Stress users: config 3 1-1,text,true,,231,159,5,5,http://localhost:8079/?token=518506673&user=-1355007012&config=3,514,0,0
1782082859188,531,Stress request: config 3,200,OK,Stress users: config 3 1-5,text,true,,231,159,5,5,http://localhost:8079/?token=518506673&user=-1355007012&config=3,531,0,1
1782082859492,516,Stress request: config 3,200,OK,Stress users: config 3 1-4,text,true,,231,159,5,5,http://localhost:8079/?token=518506673&user=-1355007012&config=3,516,0,0
1782082859791,517,Stress request: config 3,200,OK,Stress users: config 3 1-3,text,true,,231,159,5,5,http://localhost:8079/?token=518506673&user=-1355007012&config=3,517,0,0
1782082860091,517,Stress request: config 3,200,OK,Stress users: config 3 1-2,text,true,,231,159,6,6,http://localhost:8079/?token=518506673&user=-1355007012&config=3,516,0,0
1782082860391,535,Stress request: config 3,200,OK,Stress users: config 3 1-6,text,true,,231,159,6,6,http://localhost:8079/?token=518506673&user=-1355007012&config=3,535,0,0
1782082860430,518,Stress request: config 3,200,OK,Stress users: config 3 1-1,text,true,,231,159,6,6,http://localhost:8079/?token=518506673&user=-1355007012&config=3,518,0,0
1782082860688,519,Stress request: config 3,200,OK,Stress users: config 3 1-5,text,true,,231,159,6,6,http://localhost:8079/?token=518506673&user=-1355007012&config=3,519,0,0
1782082860992,521,Stress request: config 3,200,OK,Stress users: config 3 1-4,text,true,,231,159,6,6,http://localhost:8079/?token=518506673&user=-1355007012&config=3,521,0,0
1782082861292,521,Stress request: config 3,200,OK,Stress users: config 3 1-3,text,true,,231,159,7,7,http://localhost:8079/?token=518506673&user=-1355007012&config=3,521,0,0
1782082861594,528,Stress request: config 3,200,OK,Stress users: config 3 1-2,text,true,,231,159,7,7,http://localhost:8079/?token=518506673&user=-1355007012&config=3,528,0,0
1782082861588,539,Stress request: config 3,200,OK,Stress users: config 3 1-7,text,true,,231,159,7,7,http://localhost:8079/?token=518506673&user=-1355007012&config=3,539,0,1
1782082861893,524,Stress request: config 3,200,OK,Stress users: config 3 1-6,text,true,,231,159,7,7,http://localhost:8079/?token=518506673&user=-1355007012&config=3,524,0,0
1782082861929,523,Stress request: config 3,200,OK,Stress users: config 3 1-1,text,true,,231,159,7,7,http://localhost:8079/?token=518506673&user=-1355007012&config=3,523,0,0
1782082862187,525,Stress request: config 3,200,OK,Stress users: config 3 1-5,text,true,,231,159,7,7,http://localhost:8079/?token=518506673&user=-1355007012&config=3,525,0,0
1782082862491,526,Stress request: config 3,200,OK,Stress users: config 3 1-4,text,true,,231,159,8,8,http://localhost:8079/?token=518506673&user=-1355007012&config=3,526,0,0
1782082862790,536,Stress request: config 3,200,OK,Stress users: config 3 1-3,text,true,,231,159,8,8,http://localhost:8079/?token=518506673&user=-1355007012&config=3,536,0,0
1782082862788,544,Stress request: config 3,200,OK,Stress users: config 3 1-8,text,true,,231,159,8,8,http://localhost:8079/?token=518506673&user=-1355007012&config=3,543,0,1
1782082863087,527,Stress request: config 3,200,OK,Stress users: config 3 1-7,text,true,,231,159,8,8,http://localhost:8079/?token=518506673&user=-1355007012&config=3,527,0,0
1782082863090,528,Stress request: config 3,200,OK,Stress users: config 3 1-2,text,true,,231,159,8,8,http://localhost:8079/?token=518506673&user=-1355007012&config=3,528,0,0
1782082863391,529,Stress request: config 3,200,OK,Stress users: config 3 1-6,text,true,,231,159,8,8,http://localhost:8079/?token=518506673&user=-1355007012&config=3,529,0,0
1782082863431,530,Stress request: config 3,200,OK,Stress users: config 3 1-1,text,true,,231,159,8,8,http://localhost:8079/?token=518506673&user=-1355007012&config=3,530,0,0
1782082863690,531,Stress request: config 3,200,OK,Stress users: config 3 1-5,text,true,,231,159,9,9,http://localhost:8079/?token=518506673&user=-1355007012&config=3,531,0,0
1782082863990,532,Stress request: config 3,200,OK,Stress users: config 3 1-4,text,true,,231,159,9,9,http://localhost:8079/?token=518506673&user=-1355007012&config=3,532,0,0
1782082863989,549,Stress request: config 3,200,OK,Stress users: config 3 1-9,text,true,,231,159,9,9,http://localhost:8079/?token=518506673&user=-1355007012&config=3,549,0,0
1782082864290,533,Stress request: config 3,200,OK,Stress users: config 3 1-8,text,true,,231,159,9,9,http://localhost:8079/?token=518506673&user=-1355007012&config=3,533,0,0
1782082864291,536,Stress request: config 3,200,OK,Stress users: config 3 1-3,text,true,,231,159,9,9,http://localhost:8079/?token=518506673&user=-1355007012&config=3,536,0,0
1782082864590,536,Stress request: config 3,200,OK,Stress users: config 3 1-7,text,true,,231,159,9,9,http://localhost:8079/?token=518506673&user=-1355007012&config=3,536,0,0
1782082864593,537,Stress request: config 3,200,OK,Stress users: config 3 1-2,text,true,,231,159,9,9,http://localhost:8079/?token=518506673&user=-1355007012&config=3,537,0,0
1782082864891,536,Stress request: config 3,200,OK,Stress users: config 3 1-6,text,true,,231,159,10,10,http://localhost:8079/?token=518506673&user=-1355007012&config=3,536,0,0
